Context,Gloss,Label,Target Word
"He plays bass in a jazz trio.","A kind of freshwater fish.","0","bass"
---
"He caught a huge bass in the lake.","A kind of freshwater fish.","1","bass"
"He caught a huge bass in the lake.","A low-pitched musical instrument.","0","bass"
---
"The match ended in a tie after extra time.","A sports contest or competition.","1","match"
"The match ended in a tie after extra time.","A small stick used to start a fire.","0","match"
---
"He struck a match and lit the candle.","A small stick used to start a fire.","1","match"
"He struck a match and lit the candle.","A sports contest or competition.","0","match"
---
"The leaves fall from the trees in autumn.","To drop or descend freely.","1","fall"
"The leaves fall from the trees in autumn.","The season between summer and winter.","0","fall"
---
"We enjoy hiking in the fall when it's cooler.","The season between summer and winter.","1","fall"
"We enjoy hiking in the fall when it's cooler.","To drop or descend freely.","0","fall"

"He used a stick to draw in the sand.","A long, thin piece of wood.","1","stick"
"He used a stick to draw in the sand.","To adhere or cling to something.","0","stick"
---
"The label won’t stick to the wet bottle.","To adhere or cling to something.","1","stick"
"The label won’t stick to the wet bottle.","A long, thin piece of wood.","0","stick"
---
"The bug landed on my shoulder unexpectedly.","An insect or small creature.","1","bug"
"The bug landed on my shoulder unexpectedly.","A flaw or defect in a computer program.","0","bug"
---
"They fixed the login bug in the software update.","A flaw or defect in a computer program.","1","bug"
"They fixed the login bug in the software update.","An insect or small creature.","0","bug"
---
"The light in the room was too bright to read.","Illumination or the presence of brightness.","1","light"
"The light in the room was too bright to read.","Not heavy in weight.","0","light"
---
"The box was surprisingly light to carry.","Not heavy in weight.","1","light"
"The box was surprisingly light to carry.","Illumination or the presence of brightness.","0","light"
---
"She wore a watch on her wrist.","A small timepiece worn on the body.","1","watch"
"She wore a watch on her wrist.","To observe attentively or remain alert.","0","watch"
---
"Please watch the pot so it doesn’t boil over.","To observe attentively or remain alert.","1","watch"
"Please watch the pot so it doesn’t boil over.","A small timepiece worn on the body.","0","watch"
---
"The patient was in stable condition after surgery.","Not likely to change or fail; steady.","1","stable"
"The patient was in stable condition after surgery.","A building where animals, especially horses, are kept.","0","stable"
---
"The horse was led back into the stable.","A building where animals, especially horses, are kept.","1","stable"
"The horse was led back into the stable.","Not likely to change or fail; steady.","0","stable"
---
"The file contains sensitive financial documents.","A folder or container for storing papers.","1","file"
"The file contains sensitive financial documents.","To smooth or shape with a rough tool.","0","file"
---
"She had to file her nails before the event.","To smooth or shape with a rough tool.","1","file"
"She had to file her nails before the event.","A folder or container for storing papers.","0","file"
---
"The plane will taxi to the runway.","To move slowly along the ground before takeoff.","1","taxi"
"The plane will taxi to the runway.","A car licensed to transport passengers for a fare.","0","taxi"
---
"We hailed a taxi to get to the train station.","A car licensed to transport passengers for a fare.","1","taxi"
"We hailed a taxi to get to the train station.","To move slowly along the ground before takeoff.","0","taxi"
---
"The pitch of his voice was surprisingly high.","The quality of a sound governed by frequency.","1","pitch"
"The pitch of his voice was surprisingly high.","A presentation or sales proposal.","0","pitch"
---
"The startup founder delivered her pitch to investors.","A presentation or sales proposal.","1","pitch"
"The startup founder delivered her pitch to investors.","The quality of a sound governed by frequency.","0","pitch"

"He managed to catch the ball with one hand.","To take hold of something.","1","catch"
"He managed to catch the ball with one hand.","An event where two or more people meet.","0","catch"
---
"She had to catch a train to the city.","An event where two or more people meet.","1","catch"
"She had to catch a train to the city.","To take hold of something.","0","catch"
---
"The drill will catch your attention with its unique design.","To attract or draw attention.","1","catch"
"The drill will catch your attention with its unique design.","A tool used for making holes.","0","catch"
---
"The painter mixed the colors on the palette.","A surface on which paint is mixed.","1","palette"
"The painter mixed the colors on the palette.","A range of different items or styles.","0","palette"
---
"He used a wide palette of colors in his painting.","A range of different items or styles.","1","palette"
"He used a wide palette of colors in his painting.","A surface on which paint is mixed.","0","palette"
---
"The detective asked him to provide a detailed account of the incident.","A description or report of something.","1","account"
"The detective asked him to provide a detailed account of the incident.","A financial record or statement.","0","account"
---
"He opened a new bank account last week.","A financial record or statement.","1","account"
"He opened a new bank account last week.","A description or report of something.","0","account"
---
"He played a role in the charity event.","An acting part or function in a performance.","1","role"
"He played a role in the charity event.","A particular function or position in an organization.","0","role"
---
"She was promoted to a higher role within the company.","A particular function or position in an organization.","1","role"
"She was promoted to a higher role within the company.","An acting part or function in a performance.","0","role"
---
"The farmer sowed the seeds in neat rows.","To plant seeds in the ground.","1","row"
"The farmer sowed the seeds in neat rows.","A linear arrangement of objects or people.","0","row"
---
"The workers stood in a row for the inspection.","A linear arrangement of objects or people.","1","row"
"The workers stood in a row for the inspection.","To plant seeds in the ground.","0","row"
---
"She won first place in the race.","A competitive event involving running.","1","race"
"She won first place in the race.","A group of people or things sharing a common characteristic.","0","race"
---
"The car was a symbol of the human race's progress.","A group of people or things sharing a common characteristic.","1","race"
"The car was a symbol of the human race's progress.","A competitive event involving running.","0","race"
---
"He loved the scent of fresh flowers in the garden.","A distinctive smell or fragrance.","1","scent"
"He loved the scent of fresh flowers in the garden.","A path or trail left by an animal or person.","0","scent"
---
"The dog followed the scent of the rabbit.","A path or trail left by an animal or person.","1","scent"
"The dog followed the scent of the rabbit.","A distinctive smell or fragrance.","0","scent"
---
"The officer gave her a warning for speeding.","A written or spoken statement advising someone.","1","warning"
"The officer gave her a warning for speeding.","A signal or indication of something to come.","0","warning"
---
"The storm cloud gave a clear warning of rain.","A signal or indication of something to come.","1","warning"
"The storm cloud gave a clear warning of rain.","A written or spoken statement advising someone.","0","warning"
---
"The teacher praised the student for his effort.","To speak highly of someone or something.","1","praise"
"The teacher praised the student for his effort.","A form of respect or reverence.","0","praise"
---
"People showed their praise for the charity event.","A form of respect or reverence.","1","praise"
"People showed their praise for the charity event.","To speak highly of someone or something.","0","praise"

"The scientist made a breakthrough in the lab.","A significant discovery or advancement.","1","breakthrough"
"The scientist made a breakthrough in the lab.","A physical crack or fracture.","0","breakthrough"
---
"The wall had a large breakthrough after the earthquake.","A physical crack or fracture.","1","breakthrough"
"The wall had a large breakthrough after the earthquake.","A significant discovery or advancement.","0","breakthrough"
---
"He decided to take a break from work for lunch.","A short rest or pause in activity.","1","break"
"He decided to take a break from work for lunch.","To separate or divide into pieces.","0","break"
---
"She broke the vase while cleaning the shelf.","To separate or divide into pieces.","1","break"
"She broke the vase while cleaning the shelf.","A short rest or pause in activity.","0","break"
---
"He wears a cap to protect his eyes from the sun.","A small, flat head covering.","1","cap"
"He wears a cap to protect his eyes from the sun.","A limit or maximum amount.","0","cap"
---
"The company has a cap on the amount of leave allowed.","A limit or maximum amount.","1","cap"
"The company has a cap on the amount of leave allowed.","A small, flat head covering.","0","cap"
---
"The bird's feathers were brightly colored.","The plumage of a bird, typically covering its body.","1","feather"
"The bird's feathers were brightly colored.","A light, soft structure growing on birds.","0","feather"
---
"He added a feather to his collection of rare items.","A light, soft structure growing on birds.","1","feather"
"He added a feather to his collection of rare items.","The plumage of a bird, typically covering its body.","0","feather"
---
"She felt overwhelmed by the heavy burden on her shoulders.","A load or weight that is difficult to carry.","1","burden"
"She felt overwhelmed by the heavy burden on her shoulders.","A group of individuals or things collected together.","0","burden"
---
"He carried the burden of responsibility for the project.","A load or weight that is difficult to carry.","1","burden"
"He carried the burden of responsibility for the project.","A group of individuals or things collected together.","0","burden"
---
"He made a toast to the success of the company.","A drink raised in celebration.","1","toast"
"He made a toast to the success of the company.","A slice of bread browned by heat.","0","toast"
---
"She spread butter on her toast before eating it.","A slice of bread browned by heat.","1","toast"
"She spread butter on her toast before eating it.","A drink raised in celebration.","0","toast"
---
"The artist decided to frame his latest painting.","A border or structure around a picture.","1","frame"
"The artist decided to frame his latest painting.","A period of time or duration.","0","frame"
---
"He spent hours framing the perfect shot.","To compose or position something within a view.","1","frame"
"He spent hours framing the perfect shot.","A border or structure around a picture.","0","frame"
---
"He felt a sudden chill in the air.","A sudden feeling of coldness or discomfort.","1","chill"
"He felt a sudden chill in the air.","A relaxed or casual atmosphere.","0","chill"
---
"The party had a chill vibe with friends and music.","A relaxed or casual atmosphere.","1","chill"
"The party had a chill vibe with friends and music.","A sudden feeling of coldness or discomfort.","0","chill"
---
"He took a shot at the target and missed.","A quick, forceful movement or attempt.","1","shot"
"He took a shot at the target and missed.","A drink, typically alcoholic, served in small amounts.","0","shot"
---
"He poured a shot of whiskey after work.","A drink, typically alcoholic, served in small amounts.","1","shot"
"He poured a shot of whiskey after work.","A quick, forceful movement or attempt.","0","shot"
---
"The mountain path was steep and challenging.","A slope or incline that is difficult to climb.","1","slope"
"The mountain path was steep and challenging.","A type of surface material or covering.","0","slope"
---
"He used a special tool to fix the slope of the roof.","A type of surface material or covering.","1","slope"
"He used a special tool to fix the slope of the roof.","A slope or incline that is difficult to climb.","0","slope"

"The lightning struck the tree during the storm.","A sudden electrical discharge in the atmosphere.","1","lightning"
"The lightning struck the tree during the storm.","A very fast movement or event.","0","lightning"
---
"He is quick as lightning when running the 100m dash.","A very fast movement or event.","1","lightning"
"He is quick as lightning when running the 100m dash.","A sudden electrical discharge in the atmosphere.","0","lightning"
---
"He loved watching the waves crash against the rocks.","A long, sweeping movement of water.","1","wave"
"He loved watching the waves crash against the rocks.","A gesture involving moving the hand to say hello or goodbye.","0","wave"
---
"She gave a wave as she left the party.","A gesture involving moving the hand to say hello or goodbye.","1","wave"
"She gave a wave as she left the party.","A long, sweeping movement of water.","0","wave"
---
"The ship came into port after a long journey.","A harbor or dock where ships are moored.","1","port"
"The ship came into port after a long journey.","A type of computer connection for peripherals.","0","port"
---
"She plugged the USB cable into the port on the laptop.","A type of computer connection for peripherals.","1","port"
"She plugged the USB cable into the port on the laptop.","A harbor or dock where ships are moored.","0","port"
---
"He always took the scenic route to work.","A road or path offering beautiful views.","1","route"
"He always took the scenic route to work.","A fixed or planned course of travel.","0","route"
---
"The bus followed its usual route through the city.","A fixed or planned course of travel.","1","route"
"The bus followed its usual route through the city.","A road or path offering beautiful views.","0","route"
---
"The fish swam through the coral reef.","A large underwater structure made of coral.","1","reef"
"The fish swam through the coral reef.","A layer of metal or hard material.","0","reef"
---
"They sailed near a rocky reef during their voyage.","A layer of metal or hard material.","1","reef"
"They sailed near a rocky reef during their voyage.","A large underwater structure made of coral.","0","reef"
---
"He used a ruler to measure the length of the table.","A tool for measuring or drawing straight lines.","1","ruler"
"He used a ruler to measure the length of the table.","A leader who governs a country or region.","0","ruler"
---
"The king was known as a wise ruler.","A leader who governs a country or region.","1","ruler"
"The king was known as a wise ruler.","A tool for measuring or drawing straight lines.","0","ruler"
---
"The car was parked under the bridge.","A structure built to span a physical obstacle.","1","bridge"
"The car was parked under the bridge.","A connection or relationship between people or ideas.","0","bridge"
---
"She built a bridge between the two communities.","A connection or relationship between people or ideas.","1","bridge"
"She built a bridge between the two communities.","A structure built to span a physical obstacle.","0","bridge"
---
"The cloud was shaped like a sheep.","A visible mass of condensed water vapor in the sky.","1","cloud"
"The cloud was shaped like a sheep.","A computer data storage service.","0","cloud"
---
"He saved all his files in the cloud for access anywhere.","A computer data storage service.","1","cloud"
"He saved all his files in the cloud for access anywhere.","A visible mass of condensed water vapor in the sky.","0","cloud"
---
"The coach had a long discussion with the player.","A formal conversation, often for advice or decision-making.","1","discussion"
"The coach had a long discussion with the player.","A dispute or argument over an issue.","0","discussion"
---
"They had a heated discussion about the project timeline.","A dispute or argument over an issue.","1","discussion"
"They had a heated discussion about the project timeline.","A formal conversation, often for advice or decision-making.","0","discussion"
---
"He found a solution to the difficult problem.","A way of solving or resolving an issue.","1","solution"
"He found a solution to the difficult problem.","A liquid mixture used in chemical processes.","0","solution"
---
"The chemist prepared a solution of salt and water.","A liquid mixture used in chemical processes.","1","solution"
"The chemist prepared a solution of salt and water.","A way of solving or resolving an issue.","0","solution"

"The firetruck raced down the street with sirens blaring.","A vehicle used for firefighting and emergencies.","1","firetruck"
"The firetruck raced down the street with sirens blaring.","A truck used for transporting goods.","0","firetruck"
---
"The firefighter jumped out of the firetruck and ran toward the building.","A person who extinguishes fires.","1","firefighter"
"The firefighter jumped out of the firetruck and ran toward the building.","A vehicle used for firefighting and emergencies.","0","firefighter"
---
"He filled the pitcher with lemonade for the guests.","A container used for holding liquids.","1","pitcher"
"He filled the pitcher with lemonade for the guests.","A person who throws the ball in baseball.","0","pitcher"
---
"The pitcher threw the ball to the batter.","A person who throws the ball in baseball.","1","pitcher"
"The pitcher threw the ball to the batter.","A container used for holding liquids.","0","pitcher"
---
"He used a hammer to secure the nails into the wood.","A tool used for driving nails into surfaces.","1","hammer"
"He used a hammer to secure the nails into the wood.","A device used to make music by striking strings or keys.","0","hammer"
---
"He played the hammer and chisel against the stone.","A tool used to shape or carve material.","1","hammer"
"He played the hammer and chisel against the stone.","A tool used for driving nails into surfaces.","0","hammer"
---
"The road had a sharp curve ahead.","A change in direction or angle.","1","curve"
"The road had a sharp curve ahead.","A smooth surface that facilitates movement.","0","curve"
---
"The tennis player hit a perfect curve on the ball.","A change in direction or angle.","1","curve"
"The tennis player hit a perfect curve on the ball.","A smooth surface that facilitates movement.","0","curve"
---
"He went fishing by the stream.","A small, flowing body of water.","1","stream"
"He went fishing by the stream.","A continuous flow of data or information.","0","stream"
---
"The data was transmitted via a live stream.","A continuous flow of data or information.","1","stream"
"The data was transmitted via a live stream.","A small, flowing body of water.","0","stream"
---
"She drew a long line with a pencil.","A tool used for marking or writing.","1","pencil"
"She drew a long line with a pencil.","A small rod made of metal, wood, or other material.","0","pencil"
---
"He used a pencil to sketch the design.","A tool used for marking or writing.","1","pencil"
"He used a pencil to sketch the design.","A small rod made of metal, wood, or other material.","0","pencil"
---
"His story was full of twists and turns.","An unexpected change in direction or events.","1","twist"
"His story was full of twists and turns.","A small piece of rope or wire that is twisted.","0","twist"
---
"The chef taught her how to twist the dough.","A small piece of rope or wire that is twisted.","1","twist"
"The chef taught her how to twist the dough.","An unexpected change in direction or events.","0","twist"
---
"The sun was setting behind the mountains.","A star at the center of our solar system.","1","sun"
"The sun was setting behind the mountains.","A type of large fruit with a hard rind.","0","sun"
---
"She loved walking in the warm sun.","A star at the center of our solar system.","1","sun"
"She loved walking in the warm sun.","A type of large fruit with a hard rind.","0","sun"
---
"The boat sailed toward the horizon.","A line where the earth and sky seem to meet.","1","horizon"
"The boat sailed toward the horizon.","A continuous series or range of things.","0","horizon"
---
"The company is expanding its product line into new horizons.","A continuous series or range of things.","1","horizon"
"The company is expanding its product line into new horizons.","A line where the earth and sky seem to meet.","0","horizon"
---
"He took a deep breath before speaking.","The act of inhaling and exhaling air.","1","breath"
"He took a deep breath before speaking.","A small breeze or gust of wind.","0","breath"
---
"The wind carried a cool breath through the trees.","A small breeze or gust of wind.","1","breath"
"The wind carried a cool breath through the trees.","The act of inhaling and exhaling air.","0","breath"

"He drove through the dense forest on his way to the cabin.","A large area covered chiefly with trees and undergrowth.","1","forest"
"He drove through the dense forest on his way to the cabin.","A place to cultivate crops.","0","forest"
---
"The campers built a fire in the forest to stay warm.","A place to cultivate crops.","1","forest"
"The campers built a fire in the forest to stay warm.","A large area covered chiefly with trees and undergrowth.","0","forest"
---
"The chef prepared a beautiful dish with a garnish of herbs.","A decorative item added to food for appearance or flavor.","1","garnish"
"The chef prepared a beautiful dish with a garnish of herbs.","A type of clothing worn on the head.","0","garnish"
---
"She added a garnish of parsley to the plate.","A type of clothing worn on the head.","1","garnish"
"She added a garnish of parsley to the plate.","A decorative item added to food for appearance or flavor.","0","garnish"
---
"He wore a leather belt with his jeans.","A strip of material worn around the waist.","1","belt"
"He wore a leather belt with his jeans.","A body of water surrounded by land.","0","belt"
---
"The belt of the river had dried up due to the heat.","A body of water surrounded by land.","1","belt"
"The belt of the river had dried up due to the heat.","A strip of material worn around the waist.","0","belt"
---
"The climber reached the summit of the mountain.","The highest point of a mountain or hill.","1","summit"
"The climber reached the summit of the mountain.","A gathering of leaders or experts for a meeting.","0","summit"
---
"The summit of the conference was a roundtable discussion.","A gathering of leaders or experts for a meeting.","1","summit"
"The summit of the conference was a roundtable discussion.","The highest point of a mountain or hill.","0","summit"
---
"The bakery smelled of fresh bread and pastries.","A place where baked goods are made or sold.","1","bakery"
"The bakery smelled of fresh bread and pastries.","A store that sells flowers.","0","bakery"
---
"She bought a bouquet of flowers from the bakery.","A store that sells flowers.","1","bakery"
"She bought a bouquet of flowers from the bakery.","A place where baked goods are made or sold.","0","bakery"
---
"His house had a beautiful garden in the backyard.","A plot of land where plants are grown.","1","garden"
"His house had a beautiful garden in the backyard.","A building used for storing tools.","0","garden"
---
"He spent the afternoon in his vegetable garden.","A plot of land where plants are grown.","1","garden"
"He spent the afternoon in his vegetable garden.","A building used for storing tools.","0","garden"
---
"She felt a rush of adrenaline after crossing the finish line.","A hormone released during stress or excitement.","1","adrenaline"
"She felt a rush of adrenaline after crossing the finish line.","A burst of energy or excitement.","0","adrenaline"
---
"He said he could feel his adrenaline pumping as he prepared for the race.","A burst of energy or excitement.","1","adrenaline"
"He said he could feel his adrenaline pumping as he prepared for the race.","A hormone released during stress or excitement.","0","adrenaline"
---
"He made a discovery while exploring the ancient ruins.","A finding or uncovering of something previously unknown.","1","discovery"
"He made a discovery while exploring the ancient ruins.","A brief, intense period of learning.","0","discovery"
---
"The scientist’s discovery of a new element revolutionized chemistry.","A finding or uncovering of something previously unknown.","1","discovery"
"The scientist’s discovery of a new element revolutionized chemistry.","A brief, intense period of learning.","0","discovery"
---
"The lawyer made an argument in favor of his client.","A reason or explanation given in support of a point.","1","argument"
"The lawyer made an argument in favor of his client.","A verbal exchange of differing views.","0","argument"
---
"They had a heated argument about the terms of the contract.","A verbal exchange of differing views.","1","argument"
"They had a heated argument about the terms of the contract.","A reason or explanation given in support of a point.","0","argument"
---
"He had to defend his position during the debate.","To argue in support of something.","1","defend"
"He had to defend his position during the debate.","A type of clothing worn by soldiers.","0","defend"
---
"The soldiers were trained to defend their country.","A type of clothing worn by soldiers.","1","defend"
"The soldiers were trained to defend their country.","To argue in support of something.","0","defend"

"He was determined to stay fit and healthy.","In good physical condition.","1","fit"
"He was determined to stay fit and healthy.","To try or attempt something.","0","fit"
---
"The dress was a perfect fit for her.","Appropriate or suitable in size, shape, or style.","1","fit"
"The dress was a perfect fit for her.","In good physical condition.","0","fit"
---
"She used a ladder to climb up to the roof.","A structure with steps used to reach high places.","1","ladder"
"She used a ladder to climb up to the roof.","A hierarchy or system of levels.","0","ladder"
---
"He moved up the ladder in his career.","A hierarchy or system of levels.","1","ladder"
"He moved up the ladder in his career.","A structure with steps used to reach high places.","0","ladder"
---
"The players took their positions on the field.","A place where something or someone is located.","1","position"
"The players took their positions on the field.","A stance or viewpoint in an argument.","0","position"
---
"He held a strong position in the debate.","A stance or viewpoint in an argument.","1","position"
"He held a strong position in the debate.","A place where something or someone is located.","0","position"
---
"He reached the summit of his career goals.","The highest or most successful point in something.","1","summit"
"He reached the summit of his career goals.","A collection or group of people with a shared purpose.","0","summit"
---
"The summit meeting was attended by world leaders.","A collection or group of people with a shared purpose.","1","summit"
"The summit meeting was attended by world leaders.","The highest or most successful point in something.","0","summit"
---
"She decided to go for a swim in the lake.","To move through water by using the arms and legs.","1","swim"
"She decided to go for a swim in the lake.","A type of dance or movement in water.","0","swim"
---
"He loves to swim in the ocean on hot days.","To move through water by using the arms and legs.","1","swim"
"He loves to swim in the ocean on hot days.","A type of dance or movement in water.","0","swim"
---
"The balloon floated high in the sky.","To rest or move on the surface of a liquid or air.","1","float"
"The balloon floated high in the sky.","A large ball of air used in certain games.","0","float"
---
"The leaves will float on the surface of the pond.","To rest or move on the surface of a liquid or air.","1","float"
"The leaves will float on the surface of the pond.","A large ball of air used in certain games.","0","float"
---
"The engineer designed the machine to work efficiently.","A person who creates and builds machines or structures.","1","engineer"
"The engineer designed the machine to work efficiently.","A person who operates a machine.","0","engineer"
---
"The engineer made improvements to the building’s structure.","A person who creates and builds machines or structures.","1","engineer"
"The engineer made improvements to the building’s structure.","A person who operates a machine.","0","engineer"
---
"He tried to balance on the beam without falling.","A long, narrow piece of material used for support.","1","beam"
"He tried to balance on the beam without falling.","A horizontal structure used in buildings.","0","beam"
---
"The sun's rays shone through the beams of the roof.","A horizontal structure used in buildings.","1","beam"
"The sun's rays shone through the beams of the roof.","A long, narrow piece of material used for support.","0","beam"
---
"He carefully examined the delicate fabric.","A material that is woven or knitted.","1","fabric"
"He carefully examined the delicate fabric.","A structure made from various materials.","0","fabric"
---
"The fabric of the building was made of high-quality materials.","A structure made from various materials.","1","fabric"
"The fabric of the building was made of high-quality materials.","A material that is woven or knitted.","0","fabric"
---
"He reached the peak of the mountain after a long climb.","The highest point of a hill or mountain.","1","peak"
"He reached the peak of the mountain after a long climb.","A moment of intense activity or success.","0","peak"
---
"His career was at its peak during the 1990s.","A moment of intense activity or success.","1","peak"
"His career was at its peak during the 1990s.","The highest point of a hill or mountain.","0","peak"

"The astronaut gazed at the stars from the spacecraft.","A large, bright object in the night sky.","1","star"
"The astronaut gazed at the stars from the spacecraft.","A popular celebrity or famous person.","0","star"
---
"He became a movie star after his breakthrough role.","A popular celebrity or famous person.","1","star"
"He became a movie star after his breakthrough role.","A large, bright object in the night sky.","0","star"
---
"She added a small pinch of salt to the soup.","A small amount of something, often seasoning.","1","pinch"
"She added a small pinch of salt to the soup.","A quick grasp or squeeze with the fingers.","0","pinch"
---
"He felt a pinch of regret after his decision.","A quick grasp or squeeze with the fingers.","1","pinch"
"He felt a pinch of regret after his decision.","A small amount of something, often seasoning.","0","pinch"
---
"The chair was made from solid oak wood.","A type of strong, durable tree used for timber.","1","oak"
"The chair was made from solid oak wood.","A container used for holding liquids.","0","oak"
---
"He planted an oak tree in his backyard.","A type of strong, durable tree used for timber.","1","oak"
"He planted an oak tree in his backyard.","A container used for holding liquids.","0","oak"
---
"He could hear the rustling of leaves in the wind.","A soft, fluttering sound caused by movement.","1","rustle"
"He could hear the rustling of leaves in the wind.","A type of clothing worn on the upper body.","0","rustle"
---
"She heard a rustle as the animal moved through the brush.","A soft, fluttering sound caused by movement.","1","rustle"
"She heard a rustle as the animal moved through the brush.","A type of clothing worn on the upper body.","0","rustle"
---
"He wore a large woolen sweater to keep warm.","A thick knitted garment worn on the upper body.","1","sweater"
"He wore a large woolen sweater to keep warm.","A tool used for measuring temperatures.","0","sweater"
---
"She knitted a cozy sweater for her grandmother.","A thick knitted garment worn on the upper body.","1","sweater"
"She knitted a cozy sweater for her grandmother.","A tool used for measuring temperatures.","0","sweater"
---
"The volcano erupted violently, spewing ash into the sky.","A geological event in which magma and gases are expelled from the Earth's crust.","1","volcano"
"The volcano erupted violently, spewing ash into the sky.","A large, open space or area.","0","volcano"
---
"The scientists studied the eruption of the volcano.","A large, open space or area.","1","volcano"
"The scientists studied the eruption of the volcano.","A geological event in which magma and gases are expelled from the Earth's crust.","0","volcano"
---
"The road was slippery after the rain.","A smooth surface made slick by moisture or ice.","1","slippery"
"The road was slippery after the rain.","A type of clothing worn on the feet.","0","slippery"
---
"He slipped on the slippery floor while cleaning.","A smooth surface made slick by moisture or ice.","1","slippery"
"He slipped on the slippery floor while cleaning.","A type of clothing worn on the feet.","0","slippery"
---
"He placed the book on the shelf.","A horizontal surface for storing objects.","1","shelf"
"He placed the book on the shelf.","A tool used for measuring distances.","0","shelf"
---
"She organized her books neatly on the shelf.","A horizontal surface for storing objects.","1","shelf"
"She organized her books neatly on the shelf.","A tool used for measuring distances.","0","shelf"
---
"He felt a wave of emotion as he watched the movie.","A strong feeling or surge of emotion.","1","wave"
"He felt a wave of emotion as he watched the movie.","A large body of water on the ocean's surface.","0","wave"
---
"The boat sailed across the waves.","A large body of water on the ocean's surface.","1","wave"
"The boat sailed across the waves.","A strong feeling or surge of emotion.","0","wave"
---
"She took a walk through the park on a sunny day.","A park or large outdoor area designed for recreation.","1","park"
"She took a walk through the park on a sunny day.","A structure used to support plants in a garden.","0","park"
---
"He parked the car in the garage after work.","A structure used to store or park vehicles.","1","park"
"He parked the car in the garage after work.","A park or large outdoor area designed for recreation.","0","park"

"He carefully wrapped the fragile vase in bubble wrap.","Delicate and easily broken.","1","fragile"
"He carefully wrapped the fragile vase in bubble wrap.","Strong and durable.","0","fragile"
---
"She had a fragile understanding of the complex concept.","Delicate and easily broken.","1","fragile"
"She had a fragile understanding of the complex concept.","Strong and durable.","0","fragile"
---
"He loves to admire the intricate designs on ancient pottery.","Detailed and complicated in structure.","1","intricate"
"He loves to admire the intricate designs on ancient pottery.","Simple and plain.","0","intricate"
---
"The spider wove intricate webs in the corner of the room.","Detailed and complicated in structure.","1","intricate"
"The spider wove intricate webs in the corner of the room.","Simple and plain.","0","intricate"
---
"He drove his car at a steady pace down the road.","Constant or even in speed or direction.","1","steady"
"He drove his car at a steady pace down the road.","Occasional or irregular.","0","steady"
---
"The constant, steady rain made the river rise.","Constant or even in speed or direction.","1","steady"
"The constant, steady rain made the river rise.","Occasional or irregular.","0","steady"
---
"He took the book from the shelf.","A structure used for storing or holding items.","1","shelf"
"He took the book from the shelf.","A small storage box for personal items.","0","shelf"
---
"She organized the library by placing books on the shelf.","A structure used for storing or holding items.","1","shelf"
"She organized the library by placing books on the shelf.","A small storage box for personal items.","0","shelf"
---
"The scientist conducted experiments in the laboratory.","A room or building equipped for scientific work.","1","laboratory"
"The scientist conducted experiments in the laboratory.","A place for growing plants.","0","laboratory"
---
"He spent hours working in the laboratory on his research.","A room or building equipped for scientific work.","1","laboratory"
"He spent hours working in the laboratory on his research.","A place for growing plants.","0","laboratory"
---
"The ship sailed across the vast ocean.","A large body of water that covers most of the Earth's surface.","1","ocean"
"The ship sailed across the vast ocean.","A small body of water surrounded by land.","0","ocean"
---
"They explored the ocean floor to study marine life.","A large body of water that covers most of the Earth's surface.","1","ocean"
"They explored the ocean floor to study marine life.","A small body of water surrounded by land.","0","ocean"
---
"The musician played a beautiful melody on the piano.","A sequence of musical notes that is pleasing to hear.","1","melody"
"The musician played a beautiful melody on the piano.","A rhythmic pattern of beats in music.","0","melody"
---
"He composed a melody that became a popular song.","A sequence of musical notes that is pleasing to hear.","1","melody"
"He composed a melody that became a popular song.","A rhythmic pattern of beats in music.","0","melody"
---
"He tried to balance on the tightrope without falling.","To keep something stable or upright.","1","balance"
"He tried to balance on the tightrope without falling.","To make something uneven or unstable.","0","balance"
---
"The gymnast showed perfect balance on the beam.","To keep something stable or upright.","1","balance"
"The gymnast showed perfect balance on the beam.","To make something uneven or unstable.","0","balance"
---
"The wind caused the branches to sway back and forth.","To move gently or rhythmically in response to air or water.","1","sway"
"The wind caused the branches to sway back and forth.","To hold something firmly in place.","0","sway"
---
"The dancer performed a graceful sway during the performance.","To move gently or rhythmically in response to air or water.","1","sway"
"The dancer performed a graceful sway during the performance.","To hold something firmly in place.","0","sway"
---
"She picked up the phone and dialed the number.","A device used for making calls or sending messages.","1","phone"
"She picked up the phone and dialed the number.","A small handheld computer.","0","phone"
---
"He forgot his phone at home and had to go back.","A device used for making calls or sending messages.","1","phone"
"He forgot his phone at home and had to go back.","A small handheld computer.","0","phone"

"He gave her a ring for their engagement.","A small circular band, typically worn on a finger.","1","ring"
"He gave her a ring for their engagement.","A sound, often from a bell or telephone.","0","ring"
---
"The phone began to ring loudly.","A sound, often from a bell or telephone.","1","ring"
"The phone began to ring loudly.","A small circular band, typically worn on a finger.","0","ring"
---
"She set the table before dinner.","To arrange or prepare something.","1","set"
"She set the table before dinner.","A group or collection of similar items.","0","set"
---
"The chess set was made of ivory.","A group or collection of similar items.","1","set"
"The chess set was made of ivory.","To arrange or prepare something.","0","set"
---
"The coach trained the team every morning.","A group of players forming one side in a game or sport.","1","team"
"The coach trained the team every morning.","A group of animals or workers pulling a load.","0","team"
---
"The farmer used a team of oxen to plow the field.","A group of animals or workers pulling a load.","1","team"
"The farmer used a team of oxen to plow the field.","A group of players forming one side in a game or sport.","0","team"
---
